Year,Rank_Encoded,Assigned_Encoded,Predicted_OTHOURS
2023,0,4,44.9725
2023,0,6,22.43
2023,0,19,84.795
2023,0,21,33.3975
2023,0,37,43.98
2023,0,50,114.5225
2023,0,51,63.725
2023,0,52,45.65
2023,0,53,273.08
2023,0,54,36.4275
2023,0,55,25.6675
2023,0,56,67.0775
2023,0,57,48.155
2023,0,58,86.6175
2023,0,59,158.23
2023,0,60,67.1425
2023,0,72,15.9825
2023,0,79,10.8025
2023,0,91,37.55
2023,0,94,69.39
2023,0,119,39.7175
2023,0,134,123.0025
2023,1,15,52.16
2023,1,17,35.27
2023,1,18,30.555
2023,1,19,56.9425
2023,1,20,25.89
2023,1,21,19.88
2023,1,22,12.165
2023,1,23,12.965
2023,1,24,10.53
2023,1,30,113.49
2023,1,31,218.5125
2023,1,50,33.375
2023,1,51,74.0975
2023,1,52,32.8675
2023,1,53,39.1825
2023,1,55,23.885
2023,1,56,20.075
2023,1,57,16.0
2023,1,58,25.415
2023,1,59,16.7225
2023,1,60,18.615
2023,1,70,11.9025
2023,1,87,100.6925
2023,1,95,28.6575
2023,1,96,22.5125
2023,1,99,69.1825
2023,1,107,15.2975
2023,1,114,21.3625
2023,1,115,25.22
2023,1,116,21.85
2023,1,118,31.54
2023,1,119,201.87
2023,1,134,44.835
2023,1,138,30.3
2023,1,143,65.525
2023,1,145,29.205
2023,2,0,221.5625
2023,2,1,25.565
2023,2,2,94.97
2023,2,3,41.34
2023,2,9,164.77
2023,2,10,169.72
2023,2,11,27.075
2023,2,12,441.8975
2023,2,13,29.495
2023,2,15,23.17
2023,2,26,193.49
2023,2,27,84.305
2023,2,28,64.36
2023,2,33,95.675
2023,2,34,46.1775
2023,2,35,26.595
2023,2,41,31.42
2023,2,44,25.42
2023,2,45,173.2675
2023,2,46,931.07
2023,2,47,51.175
2023,2,48,38.95
2023,2,59,31.4425
2023,2,61,37.0625
2023,2,62,100.985
2023,2,63,27.0675
2023,2,64,26.6525
2023,2,65,109.9
2023,2,66,34.655
2023,2,67,68.0275
2023,2,68,70.185
2023,2,81,310.57
2023,2,84,28.93
2023,2,85,42.8225
2023,2,88,117.48
2023,2,90,223.56
2023,2,95,203.3875
2023,2,97,28.2175
2023,2,125,14.4325
2023,2,128,27.53
2023,2,130,86.835
2023,2,133,191.4275
2023,2,144,54.16
2023,2,145,73.035
2023,3,4,27.3825
2023,3,9,65.625
2023,3,12,61.935
2023,3,14,51.1425
2023,3,36,19.505
2023,3,37,11.615
2023,3,50,216.29
2023,3,51,655.5325
2023,3,52,370.4625
2023,3,53,765.2025
2023,3,54,119.245
2023,3,55,667.3875
2023,3,56,143.6975
2023,3,57,609.38
2023,3,58,378.9375
2023,3,59,186.9775
2023,3,60,31.9675
2023,3,73,6.935
2023,3,91,64.1675
2023,3,100,22.9925
2023,3,106,24.485
2023,3,111,95.835
2023,3,130,27.885
2023,3,132,116.2975
2023,3,135,79.6075
